
 Lista de Imóveis da Caixa;;Data de geração:;27/12/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1600000079174 ;MG ;BELO HORIZONTE ;COLEGIO BATISTA ;RUA UBA, N. 111, QD 16C LT 01 UNIDADE 111 ;458.407,42;770.000,00;40.47;Casa, 0.00 de área total, 235.00 de área privativa, 486.16 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1600000079174
 1444405081122 ;MG ;BELO HORIZONTE ;SANTA CRUZ ;RUA MARIA JOSE GOMES, N. 178, . ;503.478,30;830.000,00;39.34;Casa, 0.00 de área total, 148.75 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405081122
 10173671 ;MG ;BELO HORIZONTE ;BARRO PRETO ;RUA PARACATU, N. 143, SL 602, QD 33, LT 16 ;278.598,55;455.000,00;38.77;Sala, 0.00 de área total, 92.98 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10173671
 10187882 ;MG ;BELO HORIZONTE ;SAO LUIZ ;AVENIDA ALFREDO CAMARATE, N. 00, QD 71-A, LTS 26 E 27, LJ 13 ;388.813,36;635.000,00;38.77;Loja, 0.00 de área total, 65.07 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10187882
 10177895 ;MG ;BELO HORIZONTE ;DIAMANTE (BARREIRO) ;AV WALDYR SOEIRO EMRICH, N. 4355, BL A,LJ 04,QD 110B, LT 5A ;324.521,39;530.000,00;38.77;Loja, 0.00 de área total, 67.10 de área privativa, 2000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177895
 10194009 ;MG ;BELO HORIZONTE ;VILA PARIS ;RUA VISCONDE DO RIO DAS VELHAS, N. 81, Apto 12, BL I QD 06 ;339.829,00;555.000,00;38.77;Apartamento, 0.00 de área total, 102.94 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10194009
 1444419508620 ;MG ;BELO HORIZONTE ;JAQUELINE ;RUA ISABEL RASO, N. 10, Apto 403, BL 04 ;104.992,75;170.000,00;38.24;Apartamento, 0.00 de área total, 45.40 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419508620
 1555518450338 ;MG ;BELO HORIZONTE ;FLORAMAR ;RUA JOSE VIEIRA MUNIZ, N. 25, Apto 3, LOT 29 QD 44 ;216.049,55;339.000,00;36.27;Apartamento, 0.00 de área total, 109.44 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555518450338
 1555529254993 ;MG ;BELO HORIZONTE ;SANTA EFIGENIA ;RUA GRAO PARA, N. 648, UNIDADE NO SUBSOLO - IMOVEL COMERCIAL ;1.370.225,75;2.150.000,00;36.27;Sala, 0.00 de área total, 277.57 de área privativa, 0.00 de área do terreno, WC, WC Emp, 7 sala(s), 4 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555529254993
 8555516636742 ;MG ;BELO HORIZONTE ;PQ DO JATOBA ;AVENIDA PERIMETRAL, N. 2370, CS 52 BL 26 ;196.000,00;196.000,00;0.00;Casa, 0.00 de área total, 92.17 de área privativa, 125.54 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516636742
